Day,Close,Volume,MA_20,MA_40
2020-01-01,41.26,1149.1996832,,
2020-01-02,41.57,5119.431567,,
2020-01-03,39.34,6299.3034033,,
2020-01-04,42.17,1828.6137386999999,,
2020-01-05,42.81,6388.3750469,,
2020-01-06,43.27,11740.5172559,,
2020-01-07,45.79,28194.9765208,,
2020-01-08,46.35,17349.4429914,,
2020-01-09,45.43,0.55049,,
2020-01-10,44.92,19922.0849703,,
2020-01-11,48.94,10254.8256177,,
2020-01-12,49.3,8850.650945,,
2020-01-13,51.57,17198.4236014,,
2020-01-14,49.6,47480.2827183,,
2020-01-15,57.7,17447.3614942,,
2020-01-16,58.34,12916.0496433,,
2020-01-17,57.62,19360.3510559,,
2020-01-18,61.02,9419.8578453,,
2020-01-19,59.29,9400.7775536,,
2020-01-20,57.58,8095.5788211,49.1935,
2020-01-21,57.26,14916.631905,49.9935,
2020-01-22,57.51,16747.2755294,50.790499999999994,
2020-01-23,58.06,85.740608,51.7265,
2020-01-24,54.43,10436.9370851,52.3395,
2020-01-25,54.43,4857.8396184,52.920500000000004,
2020-01-26,53.15,5921.4527227,53.4145,
2020-01-27,56.1,7891.0770074,53.92999999999999,
2020-01-28,58.55,9103.3387562,54.54,
2020-01-29,60.67,9432.7211865,55.302,
2020-01-30,59.65,31609.234340400002,56.0385,
2020-01-31,67.83,27994.0674644,56.983000000000004,
2020-02-01,67.9,17938.9849756,57.913,
2020-02-02,70.79,19803.8070383,58.874,
2020-02-03,69.8,25033.3738189,59.884,
2020-02-04,69.74,13194.4687198,60.486000000000004,
2020-02-05,67.78,13891.6106231,60.958000000000006,
2020-02-06,72.81,0.02732,61.717499999999994,
2020-02-07,73.5,6816.5358603,62.341499999999996,
2020-02-08,74.27,10664.8021231,63.0905,
2020-02-09,76.69,6488.2296144,64.04599999999999,56.619749999999996
2020-02-10,77.14,12237.3356603,65.03999999999999,57.51674999999999
2020-02-11,74.26,14357.4070646,65.8775,58.334
2020-02-12,76.82,20704.489913,66.8155,59.271
2020-02-13,81.38,24023.7690393,68.163,60.25124999999999
2020-02-14,80.62,14035.8207274,69.4725,61.1965
2020-02-15,83.38,15807.2146853,70.98400000000001,62.19924999999999
2020-02-16,76.61,17849.5062898,72.0095,62.96975
2020-02-17,74.77,15267.7452123,72.82050000000001,63.68025
2020-02-18,73.49,19850.1144715,73.4615,64.38174999999998
2020-02-19,77.19,29153.4396032,74.3385,65.1885
2020-02-20,70.49,645.5778700000001,74.4715,65.72725
2020-02-21,69.64,7918.6552635,74.5585,66.23575
2020-02-22,73.38,7601.2216825,74.688,66.781
2020-02-23,74.68,5298.762436,74.93199999999999,67.40799999999999
2020-02-24,80.03,20942.7148882,75.4465,67.96625
2020-02-25,75.98,13276.7286502,75.85650000000001,68.40725
2020-02-26,71.0,39994.6356337,75.766,68.74175
2020-02-27,60.42,25397.2029777,75.112,68.72675000000001
2020-02-28,61.46,15953.9906995,74.4715,68.781
2020-02-29,60.0,16188.0335241,73.637,68.84150000000001
2020-03-01,58.06,14121.7072265,72.68299999999999,68.8615
2020-03-02,57.91,21473.1284362,71.8655,68.8715
2020-03-03,61.46,23827.8172042,71.0975,68.9565
2020-03-04,61.35,16059.2728339,70.09599999999999,69.1295
2020-03-05,60.09,22718.483647,69.0695,69.271
2020-03-06,62.23,30266.7909555,68.01199999999999,69.498
2020-03-07,63.49,5537.8394671,67.356,69.68275
2020-03-08,60.41,34552.0512928,66.638,69.72925000000001
2020-03-09,51.08,69647.7033216,65.5175,69.48949999999999
2020-03-10,50.36,49086.2927585,64.176,69.25725
2020-03-11,50.13,29063.8127217,63.157999999999994,68.81474999999999
2020-03-12,48.57,129750.6844515,62.10450000000001,68.3315
2020-03-13,31.27,129510.0733893,59.999,67.3435
2020-03-14,37.89,38922.147389800004,58.1595,66.54575
2020-03-15,34.51,20874.5062461,55.88349999999999,65.665
2020-03-16,36.29,60608.5272071,53.899,64.87775
2020-03-17,33.36,54287.771977,52.016999999999996,63.89149999999999
2020-03-18,34.44,44656.5430987,50.717999999999996,62.915
2020-03-19,34.95,55353.0539174,49.3925,61.932
2020-03-20,39.16,122922.3378746,48.3505,60.99375
2020-03-21,38.02,34328.4317064,47.348499999999994,60.015750000000004
2020-03-22,38.18,45269.9670244,46.362,59.113749999999996
2020-03-23,35.54,60038.7034573,45.065999999999995,58.08175
2020-03-24,39.37,46084.5400682,43.967,57.03150000000001
2020-03-25,40.74,61293.3903446,42.9995,56.034499999999994
2020-03-26,39.45,577.49109,41.8605,54.93625000000001
2020-03-27,39.66,35830.9782945,40.669,54.0125
2020-03-28,37.67,38877.2439577,39.532,53.085
2020-03-29,39.04,6544.0427118,38.93,52.223749999999995
2020-03-30,37.08,16823.2819683,38.266,51.221000000000004
2020-03-31,38.93,18645.694611,37.706,50.432
2020-04-01,39.39,17787.3745463,37.247,49.67575
2020-04-02,39.6,29718.0784871,37.663500000000006,48.83125
2020-04-03,39.87,36311.2264113,37.7625,47.961
2020-04-04,40.56,10940.1715867,38.065,46.97425
2020-04-05,40.91,10572.0715242,38.296,46.0975
2020-04-06,40.42,44828.379171399996,38.649,45.333
2020-04-07,45.07,43036.5888905,39.1805,44.94925
2020-04-08,44.61,26529.7854452,39.6635,44.528000000000006
2020-04-09,46.7,0.0,40.0405,44.195499999999996
2020-04-10,46.73,45129.198772100004,40.476000000000006,43.91225
2020-04-11,42.44,11841.1404202,40.689,43.5255
2020-04-12,42.68,7655.3129688,41.04600000000001,43.056
2020-04-13,41.89,18434.553734600002,41.172000000000004,42.5695
2020-04-14,41.32,6843.6919959,41.201,42.10025
2020-04-15,41.15,8482.4283957,41.285999999999994,41.57325
2020-04-16,38.82,21207.525038300002,41.244,40.9565
2020-04-17,42.6,5190.3536508,41.490500000000004,40.511250000000004
2020-04-18,42.36,8598.1715276,41.6565,40.29325
2020-04-19,44.33,9916.5981445,42.019,40.1425
2020-04-20,42.39,22024.5062317,42.19199999999999,39.949
2020-04-21,40.31,7099.1757429,42.238,39.74249999999999
2020-04-22,40.68,12726.3742569,42.291999999999994,39.97775
2020-04-23,41.88,18.73672,42.3925,40.0775
2020-04-24,43.55,18312.9786815,42.542,40.3035
2020-04-25,44.6,3641.6925209,42.7265,40.51125
2020-04-26,44.44,4481.2877283,42.927499999999995,40.78825
2020-04-27,44.74,11748.7085902,42.911,41.04575
2020-04-28,44.58,10676.112153,42.9095,41.286500000000004
2020-04-29,45.91,20175.752027900002,42.87,41.45525
2020-04-30,48.85,42313.4080129,42.976,41.726
2020-05-01,46.24,18578.5221412,43.166000000000004,41.927499999999995
2020-05-02,47.09,14562.691754899999,43.3865,42.21625
2020-05-03,49.3,16746.8861713,43.757,42.4645
2020-05-04,48.08,12364.8996383,44.095,42.647999999999996
2020-05-05,47.04,6333.2857429,44.389500000000005,42.83775
2020-05-06,46.47,17311.0672204,44.772,43.007999999999996
2020-05-07,44.86,17816.065273,44.885,43.18775
2020-05-08,47.51,18762.7376261,45.1425,43.3995
2020-05-09,47.73,15219.220764,45.3125,43.66575
2020-05-10,46.93,23055.3199563,45.539500000000004,43.86575
2020-05-11,42.15,20676.1578438,45.6315,43.93475
2020-05-12,41.7,12514.3848436,45.6825,43.98725
2020-05-13,42.19,9638.1899476,45.698,44.045249999999996
2020-05-14,43.25,0.54008,45.683,44.1125
2020-05-15,43.99,19323.0830066,45.652499999999996,44.189499999999995
2020-05-16,42.64,9621.4607007,45.5625,44.245
2020-05-17,43.25,4720.2916096,45.488,44.1995
2020-05-18,43.55,21635.2892585,45.436499999999995,44.172999999999995
2020-05-19,45.31,12057.5368727,45.4065,44.13825
2020-05-20,45.75,21366.1423129,45.2515,44.113749999999996
2020-05-21,44.19,5074.9954688,45.148999999999994,44.1575
2020-05-22,42.65,7139.5258192,44.92700000000001,44.15675
2020-05-23,44.24,4315.2651672,44.674,44.215500000000006
2020-05-24,43.88,3863.2631688,44.464000000000006,44.2795
2020-05-25,42.0,7361.2889639,44.212,44.30075
2020-05-26,42.99,5317.8808757,44.038,44.405
2020-05-27,42.32,5559.9292837,43.911,44.398
2020-05-28,43.85,0.0,43.728,44.43525
2020-05-29,44.35,4946.0596384,43.559000000000005,44.43575
2020-05-30,44.5,12133.371513,43.4375,44.4885
2020-05-31,47.75,19072.8238068,43.7175,44.6745
2020-06-01,45.4,10515.2111862,43.9025,44.792500000000004
2020-06-02,48.35,16361.3851139,44.2105,44.954249999999995
2020-06-03,46.01,10451.1192195,44.3485,45.01575
2020-06-04,46.88,12979.9429403,44.493,45.07275
2020-06-05,47.5,6026.2818152,44.736000000000004,45.14925
2020-06-06,46.66,6855.6010607,44.9065,45.197250000000004
2020-06-07,46.82,13023.7140647,45.07000000000001,45.25325
2020-06-08,46.64,10463.6883639,45.1365,45.271499999999996
2020-06-09,46.46,14054.3188286,45.172,45.21175
2020-06-10,45.91,17127.8186839,45.258,45.203500000000005
2020-06-11,46.69,19208.1562255,45.459999999999994,45.1935
2020-06-12,43.2,9863.8569465,45.408,45.041
2020-06-13,44.72,2471.8869686000003,45.45,44.957
2020-06-14,45.1,7309.1129185,45.605,44.908500000000004
2020-06-15,44.13,13728.0544357,45.66199999999999,44.85
2020-06-16,43.76,5817.0604462,45.734,44.8225
2020-06-17,43.85,7447.7197312,45.733999999999995,44.731
2020-06-18,44.04,0.0,45.7185,44.63875
2020-06-19,43.38,5845.9092498,45.6625,44.55
2020-06-20,42.85,3867.1630969,45.4175,44.5675
2020-06-21,43.54,2299.9196731,45.3245,44.6135
2020-06-22,42.92,9007.5407876,45.053,44.631750000000004
2020-06-23,44.35,7104.1785417,44.97,44.65925
2020-06-24,44.16,12184.3775469,44.833999999999996,44.663500000000006
2020-06-25,42.53,5536.843943,44.5855,44.66075
2020-06-26,42.33,10495.722973,44.369,44.63775
2020-06-27,43.05,14395.5987427,44.180499999999995,44.62525
2020-06-28,41.06,6729.7405012,43.9015,44.519000000000005
2020-06-29,41.37,13202.7971631,43.647000000000006,44.4095
2020-06-30,41.94,6089.4029557,43.448499999999996,44.35325
2020-07-01,41.26,6520.6680155,43.177,44.3185
2020-07-02,41.87,0.0,43.110499999999995,44.259249999999994
2020-07-03,41.03,2749.1319177,42.926,44.188
2020-07-04,41.16,2713.6525183,42.729,44.167
2020-07-05,42.15,2208.2510647999998,42.63,44.146
2020-07-06,41.68,13472.0624809,42.525999999999996,44.129999999999995
2020-07-07,44.03,10416.4892334,42.535000000000004,44.134499999999996
2020-07-08,43.32,14622.4898409,42.498999999999995,44.10875
2020-07-09,45.39,13128.6335642,42.5995,44.131
2020-07-10,44.39,13128.7001805,42.676500000000004,44.047000000000004
