Day,Close,Volume,MA_20,MA_40
2020-01-01,7163.3,776.641614671,,
2020-01-02,7175.23,984.141602905,,
2020-01-03,6944.91,1292.330594491,,
2020-01-04,7333.0,402.636842957,,
2020-01-05,7352.99,554.7736023236,,
2020-01-06,7351.76,1161.447704195,,
2020-01-07,7768.21,1870.587178997,,
2020-01-08,8167.45,1757.784237677,,
2020-01-09,8039.0,0.08418147000000001,,
2020-01-10,7820.01,1055.608068865,,
2020-01-11,8185.51,544.080339319,,
2020-01-12,8002.56,275.333986339,,
2020-01-13,8190.75,1628.325578412,,
2020-01-14,8110.0,2641.580856749,,
2020-01-15,8755.9,1143.86399007,,
2020-01-16,8819.35,730.764579439,,
2020-01-17,8725.86,1260.605149975,,
2020-01-18,8883.19,338.799460742,,
2020-01-19,8907.78,1709.855662696,,
2020-01-20,8704.43,555.444763385,8020.0595,
2020-01-21,8627.64,886.979117406,8093.276500000002,
2020-01-22,8725.92,515.103530017,8170.811,
2020-01-23,8664.08,0.96404323,8256.7695,
2020-01-24,8385.93,787.25808695,8309.416000000001,
2020-01-25,8425.99,366.90471997,8363.066,
2020-01-26,8312.4,464.089204272,8411.098,
2020-01-27,8622.82,1177.0029273953,8453.8285,
2020-01-28,8901.8,1527.091864848,8490.545999999998,
2020-01-29,9405.42,961.998870464,8558.867,
2020-01-30,9280.0,1451.757007459,8631.8665,
2020-01-31,9497.66,974.045870883,8697.474,
2020-02-01,9330.55,384.274230053,8763.8735,
2020-02-02,9378.53,521.891382148,8823.2625,
2020-02-03,9321.0,887.010829092,8883.8125,
2020-02-04,9277.71,816.291327444,8909.903,
2020-02-05,9165.0,1350.332758373,8927.185500000001,
2020-02-06,9631.56,3.11143589,8972.4705,
2020-02-07,9773.11,728.402279186,9016.966499999999,
2020-02-08,9804.3,578.622963235,9061.7925,
2020-02-09,9912.09,606.443658746,9122.175500000001,8571.1175
2020-02-10,10170.0,1717.891321536,9199.2935,8646.285
2020-02-11,9860.08,1988.018790226,9256.0015,8713.40625
2020-02-12,10280.15,1772.799164845,9336.805,8796.78725
2020-02-13,10340.0,1832.241630897,9434.5085,8871.96225
2020-02-14,10233.57,1653.818964925,9524.8875,8943.97675
2020-02-15,10372.73,1647.685827629,9627.904,9019.501
2020-02-16,9905.59,869.731405254,9692.0425,9072.9355
2020-02-17,9886.67,1157.833992642,9741.286,9115.916000000001
2020-02-18,9705.1,1410.354522123,9756.27,9157.568500000001
2020-02-19,10198.04,2049.235482544,9802.172,9217.019250000001
2020-02-20,9592.73,18.792607602,9806.9255,9252.19975
2020-02-21,9606.05,789.887789769,9820.7005,9292.287
2020-02-22,9705.12,319.650901863,9837.03,9330.14625
2020-02-23,9675.67,499.960293592,9854.763500000001,9369.288
2020-02-24,9973.67,1345.367379334,9889.5615,9399.73225
2020-02-25,9672.15,1075.263841936,9914.918999999998,9421.05225
2020-02-26,9308.05,2631.429901095,9898.7435,9435.607
2020-02-27,8780.08,2189.536337288,9849.092,9433.029250000001
2020-02-28,8806.84,1631.437763262,9799.219000000001,9430.50575
2020-02-29,8704.4,368.957490527,9738.834499999999,9430.505000000001
2020-03-01,8553.61,797.90289971,9658.015,9428.65425
2020-03-02,8496.06,1244.689050304,9589.814,9422.90775
2020-03-03,8916.19,910.9107984030001,9521.616,9429.2105
2020-03-04,8766.72,1271.658496995,9442.952000000001,9438.730249999999
