Day,Close,Volume,MA_20,MA_40
2020-02-24,275.58,25666.63853192,247.935,210.01024999999998
2020-02-25,265.64,24946.49406854,251.802,212.49625
2020-02-26,245.42,34381.79590193,253.87650000000002,214.53075000000004
2020-02-27,222.84,30282.56694137,254.35899999999998,215.86524999999997
2020-02-28,228.19,18755.54679202,254.61700000000002,217.22025
2020-02-29,227.36,7035.90081156,254.79049999999998,218.73050000000003
2020-03-01,218.49,17085.53075954,254.266,220.01925
2020-03-02,217.17,28849.56453132,253.9395,221.21325000000002
2020-03-03,231.98,37603.56279681,253.6435,222.8185
2020-03-04,223.77,26885.15812084,251.49599999999995,224.34724999999997
2020-03-05,224.79,27105.51117955,249.29749999999999,225.90375
2020-03-06,228.69,11640.05459444,246.43200000000002,227.64249999999998
2020-03-07,246.47,8477.34732568,245.5085,229.60875000000001
2020-03-08,237.0,25858.35489046,244.4215,231.28400000000002
2020-03-09,202.17,50295.31881979,241.1,231.92974999999996
2020-03-10,203.57,32294.94577105,237.1205,232.69525000000004
2020-03-11,200.79,30389.41632833,234.2715,233.1035
2020-03-12,194.89,206706.02655481,231.1455,233.48199999999997
2020-03-13,108.26,179600.48280072,223.279,231.6
2020-03-14,134.64,26037.20236724,216.8855,230.257
2020-03-15,122.6,44824.28873832,209.23649999999998,228.58574999999996
2020-03-16,123.1,147138.58076728001,202.1095,226.95575
2020-03-17,112.15,33923.84513373,195.446,224.66124999999997
2020-03-18,116.41,30654.43831422,190.12449999999998,222.24175
2020-03-19,119.09,53823.77684051,184.6695,219.64325
2020-03-20,137.47,90019.86137664,180.17499999999998,217.48274999999998
2020-03-21,133.8,47898.7354411,175.9405,215.10324999999997
2020-03-22,132.46,36521.04583463,171.70499999999998,212.82225000000003
2020-03-23,121.76,63493.15170926,166.194,209.91875
2020-03-24,137.36,62191.41936576,161.87349999999998,206.68474999999998
2020-03-25,138.66,40918.46541497,157.567,203.43225
2020-03-26,137.22,72.676456,152.99349999999998,199.71275
2020-03-27,136.98,16016.62510253,147.519,196.51375000000002
2020-03-28,130.01,19399.4862216,142.1695,193.2955
2020-03-29,131.66,9427.21678139,138.644,189.872
2020-03-30,124.5,29171.17039991,134.6905,185.90550000000002
2020-03-31,132.36,15514.28946275,131.269,182.77024999999998
2020-04-01,133.08,18294.08925374,128.1785,179.66199999999998
2020-04-02,137.64,34902.18170121,129.6475,176.46325
2020-04-03,141.22,25410.75103015,129.9765,173.431
2020-04-04,141.21,19744.24215604,130.90699999999998,170.07175
2020-04-05,145.16,7986.14097682,132.01000000000002,167.05975
2020-04-06,142.87,59235.57951596,133.546,164.496
2020-04-07,171.0,46133.40309735,136.27550000000002,163.2
2020-04-08,164.7,20071.03919903,138.55599999999998,161.61275
2020-04-09,173.08,167.0058728,140.3365,160.25574999999998
2020-04-10,171.16,35635.43468414,142.2045,159.0725
2020-04-11,158.72,13761.72364229,143.51749999999998,157.61124999999998
2020-04-12,158.66,12877.32833543,145.3625,155.77825
2020-04-13,158.0,15698.32097591,146.39450000000002,154.134
2020-04-14,157.41,18061.58021997,147.332,152.4495
2020-04-15,158.61,16366.80031738,148.4015,150.69750000000002
2020-04-16,151.33,39307.11698251,149.119,148.31900000000002
2020-04-17,172.77,15267.90720094,151.257,146.71325
2020-04-18,170.82,20414.59307929,153.21499999999997,145.92950000000002
2020-04-19,188.1,15132.59107892,156.395,145.54275
2020-04-20,180.24,31767.51017912,158.789,145.02900000000002
2020-04-21,170.0,22622.59985862,160.635,144.40675000000002
2020-04-22,170.99,18395.429096,162.3025,145.975
2020-04-23,183.37,29.71514,164.41000000000003,147.19325
2020-04-24,189.1,16239.68747934,166.80450000000002,148.85575
2020-04-25,187.6,11404.0767192,168.92649999999998,150.46824999999998
2020-04-26,194.48,7563.54232979,171.507,152.5265
2020-04-27,198.18,18437.19839015,172.866,154.57075
2020-04-28,196.67,9963.04048033,174.4645,156.51024999999998
2020-04-29,196.98,31241.83943246,175.6595,157.998
2020-04-30,215.58,42171.63425934,177.88049999999998,160.04250000000002
2020-05-01,206.36,13704.88859695,180.2625,161.89000000000001
2020-05-02,212.48,5405.36716516,182.95350000000002,164.15800000000002
2020-05-03,214.6,10811.663468,185.78349999999998,166.089
2020-05-04,210.17,17704.83922496,188.42149999999998,167.87675
2020-05-05,207.33,9340.94881683,190.8575,169.6295
2020-05-06,205.59,13520.38388891,193.57049999999998,171.34475
2020-05-07,198.4,19624.92308903,194.852,173.0545
2020-05-08,212.89,13353.65280891,196.9555,175.08525
2020-05-09,211.85,10872.2380773,198.14299999999997,177.269
2020-05-10,209.74,29095.29968347,199.618,179.20350000000002
2020-05-11,188.85,25347.63486293,200.5605,180.59775
2020-05-12,186.25,20294.499121869998,201.3235,181.81300000000002
2020-05-13,189.6,17366.49905623,201.635,183.02249999999998
2020-05-14,199.83,2.067531,202.17149999999998,184.488
2020-05-15,203.17,24539.03047938,202.95,185.93824999999998
2020-05-16,194.52,12521.20895019,202.952,187.2295
2020-05-17,200.1,12559.74407992,203.04799999999997,187.957
2020-05-18,206.91,24451.14871664,203.56,189.01225
2020-05-19,214.89,13581.97159079,204.4555,190.0575
2020-05-20,214.8,10987.51244909,204.41649999999998,191.1485
2020-05-21,209.98,18755.45719663,204.59750000000003,192.43
2020-05-22,198.33,10341.87026244,203.89000000000001,193.42175
2020-05-23,207.59,3720.67682955,203.5395,194.6615
2020-05-24,206.62,10474.87155133,203.36200000000002,195.89175
2020-05-25,199.1,8352.09120734,202.9505,196.904
2020-05-26,204.22,13625.70527138,202.882,198.22625
2020-05-27,201.1,8322.37915708,203.017,198.9345
2020-05-28,208.44,7.777143,202.7945,199.875
2020-05-29,216.7,17921.39663006,203.037,200.59
2020-05-30,220.66,27325.06744324,203.583,201.60049999999998
2020-05-31,243.55,13776.95583276,206.31799999999998,203.43925
2020-06-01,231.25,21877.42227422,208.56799999999998,204.94575
2020-06-02,248.92,46391.62345983,211.53400000000002,206.5845
2020-06-03,237.58,9749.63792908,213.4215,207.79649999999998
2020-06-04,244.77,16375.94877652,215.5015,209.22575
2020-06-05,243.34,9519.83303067,217.94249999999997,210.44725
2020-06-06,239.23,16570.13638268,219.89900000000003,211.47349999999997
2020-06-07,242.17,9265.40786768,221.66200000000003,212.61099999999996
2020-06-08,245.11,13983.12511097,223.173,213.81425
2020-06-09,247.81,15040.55635266,224.82350000000002,214.61999999999998
2020-06-10,244.12,9750.29020384,226.53050000000002,215.564
2020-06-11,248.0,30530.96944905,229.01400000000004,216.452
2020-06-12,230.13,14005.95134134,230.14100000000002,216.84024999999997
2020-06-13,237.7,4071.05042883,231.69500000000002,217.52849999999998
2020-06-14,238.15,6378.23684359,233.64749999999998,218.29899999999998
2020-06-15,231.2,29073.27042882,234.99649999999997,218.93925
2020-06-16,231.2,8165.43960942,236.50150000000002,219.75924999999998
2020-06-17,235.45,34173.60509445,237.852,220.32325
2020-06-18,233.7,0.0,238.702,220.86949999999996
2020-06-19,230.57,19448.05651441,239.1975,221.39025
2020-06-20,228.71,6039.35038014,238.45549999999997,222.38674999999998
2020-06-21,228.93,8817.76680849,238.3395,223.45374999999999
2020-06-22,227.81,27646.36231634,237.28399999999996,224.40899999999996
2020-06-23,243.6,7522.45564677,237.58499999999998,225.50324999999998
2020-06-24,243.08,34428.25073896,237.50050000000002,226.50099999999998
2020-06-25,234.6,20953.80843985,237.06350000000003,227.50300000000001
2020-06-26,232.3,10556.95341662,236.717,228.308
2020-06-27,229.69,13071.85743057,236.093,228.8775
2020-06-28,220.83,7964.39075949,234.879,229.02599999999998
2020-06-29,225.05,9957.50849526,233.74099999999999,229.28224999999998
2020-06-30,228.06,7437.74506376,232.93799999999996,229.73425000000003
2020-07-01,225.51,10612.47924838,231.81349999999998,230.41375000000002
2020-07-02,231.25,0.086486,231.86949999999996,231.00525000000002
2020-07-03,227.27,6535.47293729,231.348,231.52149999999997
2020-07-04,224.79,4669.73558075,230.68,232.16375000000002
2020-07-05,229.35,3890.38708413,230.5875,232.792
2020-07-06,228.01,14153.86138579,230.42799999999997,233.46475
2020-07-07,241.62,13079.79266196,230.73649999999998,234.29425
2020-07-08,239.9,13697.61958041,231.0465,234.87425
2020-07-09,247.18,27241.91388881,231.877,235.53725
2020-07-10,242.21,9002.010243,232.552,235.50375000000003
2020-07-11,241.6,19888.19125762,233.1855,235.7625
2020-07-12,239.23,22371.4306088,233.75650000000002,235.52025000000003
2020-07-13,243.36,35874.95587435,233.74450000000002,235.66475
2020-07-14,239.48,20504.35113416,233.5645,235.53250000000003
2020-07-15,240.46,8952.11003509,233.8575,235.4605
2020-07-16,238.62,2.508048,234.17350000000002,235.44525000000004
2020-07-17,235.34,6359.564670809999,234.456,235.27450000000005
2020-07-18,233.04,4999.07012672,235.0665,234.97275
2020-07-19,235.93,14154.677310699999,235.6105,234.67575000000002
2020-07-20,239.49,16313.74503525,236.18200000000002,234.56
2020-07-21,236.13,15630.49330362,236.71300000000002,234.26324999999997
2020-07-22,245.75,17289.89230431,237.43800000000002,234.65375
2020-07-23,264.33,36897.13789384,239.291,235.31949999999998
2020-07-24,275.7,26260.78266328,241.83649999999997,236.25825
2020-07-25,280.05,25943.37955403,244.37150000000003,237.4795
2020-07-26,306.09,15280.68759262,248.27550000000002,239.35174999999998
2020-07-27,311.8,44698.34804268,251.78450000000004,241.2605
2020-07-28,323.52,21593.42110046,255.96549999999996,243.50600000000003
2020-07-29,317.95,11101.19634992,259.504,245.6905
2020-07-30,318.15,10221.05686134,263.30100000000004,247.92649999999998
2020-07-31,335.85,33063.52497599,268.01349999999996,250.59949999999998
2020-08-01,347.2,19999.00934401,273.412,253.58425000000003
2020-08-02,387.98,61733.61442937,280.643,257.19375
2020-08-03,373.28,31423.57558661,287.33299999999997,260.44875
2020-08-04,387.11,21790.9093779,294.6655,264.26149999999996
2020-08-05,390.2,17405.96472049,302.2445,268.209
2020-08-06,400.55,14557.82804818,310.505,272.4805
2020-08-07,395.06,23591.80117106,318.606,276.83625
2020-08-08,379.69,10604.83890451,325.794,280.70225
2020-08-09,398.6,11897.947164879999,333.7495,284.96574999999996
2020-08-10,390.59,14680.38936823,341.47249999999997,289.09274999999997
2020-08-11,395.82,33893.98954828,348.976,293.207
2020-08-12,378.89,16047.08815716,354.704,296.99750000000006
2020-08-13,387.13,31022.13395587,360.2755,301.056
2020-08-14,426.99,38590.14699424,367.6225,305.99699999999996
2020-08-15,440.43,8308.13694912,374.3395,311.3075
2020-08-16,433.02,10161.32663301,380.40049999999997,316.09250000000003
2020-08-17,434.86,19850.72232243,385.96750000000003,320.9665
2020-08-18,431.77,12385.85349981,391.6585,325.58125
2020-08-19,422.63,18505.32096662,396.8825,330.09175
2020-08-20,408.61,7.305018,400.52049999999997,334.267
2020-08-21,414.53,16645.82362201,403.887,338.6495
2020-08-22,387.56,9968.87973765,403.866,342.2545
2020-08-23,396.24,6413.79814268,405.014,346.1735
2020-08-24,391.16,8100.14531457,405.2165,349.941
2020-08-25,407.89,14997.1389686,406.101,354.17275
2020-08-26,382.95,10701.76558673,405.221,357.86299999999994
2020-08-27,386.22,2.588837,404.779,361.6925
2020-08-28,380.49,8359.59354878,404.81899999999996,365.3065
2020-08-29,395.87,5333.77494949,404.6825,369.216
2020-08-30,398.68,20174.42380262,405.087,373.27975000000004
2020-08-31,429.5,12278.26713747,406.771,377.87350000000004
2020-09-01,435.14,24813.64036622,409.5835,382.14375
2020-09-02,476.19,31044.22614021,414.0365,387.156
2020-09-03,439.71,40555.40022772,414.6725,391.1475
2020-09-04,382.06,31098.58903336,411.754,393.04675000000003
2020-09-05,386.27,31537.98913664,409.4165,394.9085
2020-09-06,335.3,22413.71054075,404.4385,395.203
2020-09-07,352.72,12027.73931712,400.486,396.07225
2020-09-08,354.38,22169.22907886,397.0735,396.978
2020-09-09,336.86,10837.41889179,393.486,397.00325000000004
2020-09-10,350.89,114.697491,390.304,397.0955
2020-09-11,368.27,7322.78986628,389.3395,396.60275
2020-09-12,374.37,5716.76236956,388.246,396.63
2020-09-13,387.63,12220.78997303,388.06949999999995,396.64300000000003
2020-09-14,366.53,12984.62375572,386.0015,396.05125
2020-09-15,377.12,12654.73962472,385.71,395.4655
2020-09-16,364.67,13952.18927121,384.63250000000005,394.70574999999997
2020-09-17,365.12,13382.82451462,383.864,394.3415
2020-09-18,389.62,10385.22726094,383.5515,394.117
2020-09-19,384.87,4663.3391471800005,382.861,393.974
2020-09-20,385.45,5282.8104986,380.6585,393.71475
2020-09-21,370.96,19501.0494615,377.4495,393.51650000000006
2020-09-22,340.69,8691.90245302,370.6745,392.3555
2020-09-23,344.25,16313.64543502,365.90150000000006,390.287
2020-09-24,320.33,8.785454,362.815,387.2845
2020-09-25,351.4,12607.20417222,361.0715,385.24399999999997
2020-09-26,352.62,3760.30150833,361.9375,383.188
2020-09-27,354.26,4760.17572892,362.0145,381.25025
2020-09-28,358.23,8565.43471247,362.207,379.64025
2020-09-29,352.5,6149.98311701,362.989,378.2375
2020-09-30,360.22,5120.52034072,363.4555,376.87975
2020-10-01,360.87,15986.11327052,363.0855,376.2125
2020-10-02,351.7,11994.33677648,361.952,375.09900000000005
2020-10-03,345.78,3735.39552267,359.8595,373.9645
2020-10-04,346.0,3246.4542677,358.83299999999997,372.41724999999997
2020-10-05,352.56,8768.359127,357.60499999999996,371.6575
2020-10-06,355.28,10999.52369644,357.1355,370.88399999999996
2020-10-07,340.79,7679.27745821,355.919,369.8915
2020-10-08,342.1,8070.43387198,353.543,368.54725
2020-10-09,350.56,7492.52149206,351.8275,367.34425
2020-10-10,365.33,13086.00205129,350.8215,365.74
2020-10-11,370.92,2773.05757668,350.8195,364.1345
2020-10-12,374.38,14458.91008783,352.504,361.58925
2020-10-13,387.42,10149.84938018,354.6625,360.282
2020-10-14,381.55,8035.52595994,357.72349999999994,360.26925
2020-10-15,379.17,9565.5485812,359.11199999999997,360.09175
2020-10-16,378.12,11509.38334324,360.387,361.16225
2020-10-17,365.72,2732.7608695,360.96,361.48725
2020-10-18,368.42,2967.22242799,361.46950000000004,361.83825
2020-10-19,378.58,7628.9892503,362.7735,362.88125
2020-10-20,379.61,9415.00533339,363.74300000000005,363.59925
2020-10-21,369.26,17968.01566671,364.1625,363.62399999999997
2020-10-22,392.27,19053.79803805,366.19100000000003,364.0715
2020-10-23,414.7,9071.30355779,369.637,364.74825
2020-10-24,409.99,3065.05873009,372.8365,365.83475000000004
2020-10-25,412.45,4430.99252605,375.831,366.71799999999996
2020-10-26,406.4,13332.19062049,378.38700000000006,367.76124999999996
2020-10-27,394.05,9901.96632304,381.05,368.4845
2020-10-28,403.68,15551.03374042,384.129,368.836
2020-10-29,388.89,9232.07095813,386.0455,368.93649999999997
2020-10-30,387.79,10088.83144586,387.1685,368.995
2020-10-31,383.23,6018.61739335,387.784,369.30174999999997
2020-11-01,385.22,3650.95413472,388.32599999999996,370.415
2020-11-02,397.01,17225.32629656,388.8055,371.73400000000004
2020-11-03,383.04,12743.83843023,388.88,373.30175
2020-11-04,388.76,17827.65145874,389.3595,374.23575
2020-11-05,403.99,20798.04596456,390.653,375.52000000000004
2020-11-06,417.08,30602.6132388,393.221,377.0905
2020-11-07,456.37,19540.00232104,397.6185,379.544
2020-11-08,435.88,7998.45049461,400.4835,381.62850000000003
2020-11-09,454.23,13506.83567355,404.2145,383.97875
2020-11-10,445.04,9981.75877919,408.00350000000003,386.08299999999997
2020-11-11,451.0,16269.11535544,410.93999999999994,388.5655
2020-11-12,463.8,0.6803020000000001,413.395,391.516
2020-11-13,463.94,14192.25716889,416.09250000000003,394.4645
2020-11-14,477.77,10568.78957023,419.3585,397.59475
2020-11-15,461.16,9995.83732487,422.0965,400.24175
2020-11-16,447.59,10214.63422926,424.77349999999996,402.91175
2020-11-17,460.76,21579.43887431,427.62750000000005,405.87825
2020-11-18,482.69,33122.61354636,432.3175,409.1815
2020-11-19,479.7,12001.5179479,436.913,412.04075
2020-11-20,472.06,25048.47912744,441.35450000000003,414.56925
2020-11-21,510.57,22785.96407341,447.622,417.974
2020-11-22,553.55,21434.93374242,455.44899999999996,422.12725
2020-11-23,563.91,35810.3129177,464.49249999999995,426.68625000000003
2020-11-24,609.97,64922.8014585,475.55300000000005,432.45625
2020-11-25,605.38,20486.7060565,485.62249999999995,438.13775000000004
2020-11-26,568.35,79033.74693795,493.186,443.20349999999996
